Original Name,Icon Path
choices,Placeholder/Unaligned

PUBLIC CHANNELS,-
out of character,Extras/Out of Character
voting booth,Extras/Voting Booth
town square,Extras/Town Square
tavern,Extras/Tavern Right
dead  spectators,Solo/Graveyard/Graveyard Team

PHASES,-
night,Extras/Night
day,Extras/Day

GROUPS,-
butchers,Townsfolk/Group/Butchers
bakers,Townsfolk/Group/Bakers
cult,Townsfolk/Group/Cult
jury,Townsfolk/Group/Jury
couple,Unaligned/Extra/Lover
laboratory,Townsfolk/Killing/Mad Scientist
bitter hags,Solo/Coven/Coven Card
flutes,Solo/Flute/Flute Team
vampires,Solo/Underworld/Vampire
hell,Solo/Hell/Hell Card
underworld,Solo/Underworld/Underworld Card
graveyard,Solo/Graveyard/Graveyard Team
pyros,Solo/Pyro/Pyro Card
grandmas house,Townsfolk/Power/Grandma
medium question,Townsfolk/Power/Medium
nightmare,Solo/Nightmare/Nightmare Team
plague put,Extras/Rodent









OLD,-
OLD,-
OLD,-



bartender,Townsfolk/Miscellaneous/Bartender



foxes,Werewolf/Fox
lone werewolves,Werewolf/Killing/Lone Wolf
wolfpack,Werewolf/Miscellaneous/Wolf
lycans,Werewolf/Miscellaneous/Wolf
nonlycans,Werewolf/Investigative/Warlock
packless werewolves,Werewolf/Power/Tanner
wolfish,Werewolf/Wolf Card

modifiers,Modifiers/Modifier
accursed,Modifiers/Accursed
afraid,Modifiers/Afraid
amnetic,Modifiers/Amnetic
baking,Modifiers/Baking
butchering,Modifiers/Butchering
childish,Modifiers/Childish
copycat,Modifiers/Copycat
cubbish,Modifiers/Cubbish
dominant,Modifiers/Dominant
loyal,Modifiers/Loyal
conspiring,Modifiers/Conspiring
idiotic,Modifiers/Idiotic
drunken,Modifiers/Drunken
lovestruck,Modifiers/Lovestruck
lurking,Modifiers/Lurking
musical,Modifiers/Musical
prankster,Modifiers/Prankster
running,Modifiers/Running
smart,Modifiers/Smart
thieving,Modifiers/Thieving
wolven,Modifiers/Wolven
lycanthropic,Modifiers/Lycanthropic

you have been selected by the chef,Extras/Generic Food
you have been selected by the grandma,Townsfolk/Power/Grandma
you are being watched by the stalker,Townsfolk/Power/Stalker
you are being manipulated by the corrupt wolf,Werewolf/Power/Corrupt Wolf
you have received the devils wager,Solo/Hell/Wager
devils wager  additional info  hell team,Solo/Hell/Wager
souls  additional info  hell team,Extras/Soul
horsemen  additional information  limited,Solo/Horsemen/Horsemen
you have been herded,Solo/Flock/Sheep
you have been enchanted,Solo/Flute/Flute Team
you have received the cerberus offer,Solo/Hell/Cerberus Offer




hags,Unaligned/Miscellaneous/Hag

available potions,Extras/Generic Potion
available vials,Extras/Vial
available souls,Extras/Soul
available ravens,Extras/Raven
available knives,Townsfolk/Killing/Assassin Background
waiter list,Extra/Power/Restaurant Customer
knowledgeable wolf list,Werewolf/Miscellaneous/Knowledgeable Wolf List
psychopath list,Unaligned/Investigative/Psycho List

GENERAL INFO,-
roles,Extras/WWR
teams,Extras/WWR
abilities,Extras/WWR
categories,Extras/WWR
glossary,Extras/WWR
limited roles,Extras/Bot Developer
variant roles,Unaligned/Align/Thief
variant info,Unaligned/Align/Thief
temporary roles,Extras/Dead Game Master
temporary info,Extras/Dead Game Master
priestess,Offbrand/Priestess
lookalike special cases,Unaligned/Align/Look-Alike

JOKE ROLES,-
joke roles,Extras/Game Master
administrator,Extras/Administrator
ts,Extras/Bot Developer
vera,Extras/Artist
jay,Extras/Rolelist Expert
game master,Extras/Game Master
host,Extras/Host

OLD OFFBRAND,-
mini wolves,Offbrand/MWR
grandpa,Offbrand/Grandpa
actor,Offbrand/Actor
wild child,Offbrand/Wild Child
master barber,Offbrand/Master Barber
royal guard,Offbrand/Royal Guard
neighbor,Offbrand/Neighbor
acrobat,Offbrand/Acrobat
acrobatic,Offbrand/Acrobatic
blessed wolf,Offbrand/Blessed Wolf
last living citizen,Offbrand/Last Living Citizen
last living wolf,Offbrand/Packless Wolf
rival,Offbrand/Jack Robinson
burglar,Offbrand/Burglar
cryptographer,Offbrand/Cryptographer
the thing,Offbrand/The Thing
gray werewolf,Offbrand/Gray Werewolf
red werewolf,Offbrand/Red Werewolf
survivor,Offbrand/Survivor
vampire witch,Offbrand/Vampire Witch
flute novice,Offbrand/Flute Novice
cultist wolf,Offbrand/CultistWolfPlaceholder
alternative alcoholic,Offbrand/Alternative Alcoholic
alternative corrupt wolf,Offbrand/Alternative Corrupt Wolf
alternative cupid,Offbrand/Alternative Cupid
alternative dog,Offbrand/Alternative Dog
alternative innkeeper,Offbrand/Alternative Innkeeper
alternative look alike,Offbrand/Alternative Look Alike
alternative plaguebearer,Offbrand/Alternative Plaguebearer
alternative zombie,Offbrand/Alternative Zombie
alternative zombified cupid,Offbrand/Alternative Zombified Cupid 
original amulet crafter,Offbrand/Amulet Crafter Old
archangel,Offbrand/Archangel
claimspace,Offbrand/Claimspace
cupid wraith,Offbrand/Cupid Wraith
evil scientist,Offbrand/Evil Scientist
ferocious fox,Offbrand/Ferocious Fox
fortune master,Offbrand/Fortune Master
four horsemen,Offbrand/Four Horsemen
grayish werewolf,Offbrand/Grayish Werewolf
hunter,Offbrand/Hunter
immortal,Offbrand/Immortal
immune survivor,Offbrand/Immune Survivor
jack robinson,Offbrand/Jack Robinson
lone bloody butcher,Offbrand/Lone Bloody Butcher
mwr,Offbrand/MWR
none,Offbrand/None
original innkeeper,Offbrand/Original Innkeeper
packless werewolf,Offbrand/Packless Werewolf
pyro bard,Offbrand/Pyro Bard
pyronner,Offbrand/Pyronner
robin jackson,Offbrand/Robin Jackson
runner vampire,Offbrand/Runner Vampire
sacred wolf,Offbrand/Sacred Wolf
saint,Offbrand/Saint
saintly,Offbrand/Saintly Cupid
solo angel,Offbrand/Solo Angel
solo despot,Offbrand/Solo Despot
solo psychopath,Offbrand/Solo Psychopath
stalker wolf,Offbrand/Stalker Wolf
tasty villager,Offbrand/Tasty Villager
town elder,Offbrand/Town Elder
very cursed villager,Offbrand/Very Cursed Villager
vigilante,Offbrand/Vigilante
ice king,Offbrand/Ice King
alternative ice king,Offbrand/Alternative Ice King
ice queen,Offbrand/Ice Queen
ice prince,Offbrand/Ice Prince
executioner wolf,Offbrand/Executioner Wolf
curse caster,Offbrand/Curse Caster

REMOVED ROLES,-
bear,Unaligned/Killing/Bear
golem,Unaligned/Power/Golem
swindler,Unaligned/Power/Swindler
unemployed chef,Unaligned/Power/Unemployed Chef
bat,Solo/Underworld/Bat
sheep,Solo/Flock/Sheep
herded,Solo/Flock/Sheep
cerberus,Solo/Hell/Cerberus

PLAYER TOKENS,-
player tokens,Extras/Token

NEW ROLES PLACEHOLDERS,-
loyal cupid,Placeholder/Cupid
gallant fox,Placeholder/Fox
cleric,Offbrand/Cleric

WWR2 Offbrand,-
nebula soothsayer,Offbrand2/Nebula Soothsayer
spiritualistic turtle,Offbrand2/Spiritualistic Turtle
arcane druid,Offbrand2/Arcane Druid
harmonic guardian,Offbrand2/Harmonic Guardian
penumbral defender,Offbrand2/Penumbral Defender
relaxed villager,Offbrand2/Relaxed Villager
suffering civilian,Offbrand2/Suffering Civilian
luminary herbalist,Offbrand2/Luminary Herbalist
ghostly wolf,Offbrand2/Ghostly Wolf
curse caster,Offbrand2/Curse Caster
technomage lycanomancer,Offbrand2/Technomage Lycanomancer
galactic growlmaster,Offbrand2/Galactic Growlmaster
lupine tank,Offbrand2/Lupine Tank
phantom wolf,Offbrand2/Phantom Wolf
plague serenader,Offbrand2/Plague Serenader
venomous dirgebearer,Offbrand2/Venomous Dirgebearer
ephemeral nomad,Offbrand2/Ephemeral Nomad
nullarcanist,Offbrand2/Nullarcanist
denizen,Offbrand2/Suffering Civilian
shadowbound howlers,Offbrand2/Galactic Growlmaster
rogue entities,Offbrand2/Nullarcanist
ailmentbearers,Offbrand2/Plague Serenader

HAUNTING ROLES,-
banisher,Offbrand/Banisher
poltergeist,Offbrand/Poltergeist
banshee,Offbrand/Banshee
fenrir,Offbrand/Fenrir
spiritualist,Offbrand2/Arcane Druid
gravekeeper,Solo/Graveyard/Graveyard Team
haunting,Offbrand/Ghost
ghost,Offbrand/Ghost
ghost elections,Offbrand/Ghost Elections
banishment,Offbrand/Banishment
spiritual,Offbrand/Spiritual
ghostly,Offbrand/Ghostly

TAROT CARDS,-
the emperor,Offbrand/The Emperor
the empress,Offbrand/The Empress
the hermit,Offbrand/The Hermit
the lovers,Offbrand/The Lovers
the moon,Offbrand/The Moon
the star,Offbrand/The Star
the sun,Offbrand/The Sun
the tower,Offbrand/The Tower
cup,Offbrand/Cup
sword,Offbrand/Sword

ATTRIBUTES,-
charmed,Solo/Flute/Flute Charmer Background
contaminated,Extras/Rodent
raven information,Attributes/Raven Information
archivist option,Attributes/Archivist Option
archivist candidate,Attributes/Archivist Candidate
archivist seen,Attributes/Archivist Seen
demonized,Solo/Underworld/Underworld Card
detective guess,Unaligned/Investigative/Detective Background
eaten,Extras/Generic Food
enchanted,Solo/Flute/Flute Team
food type,Extras/Generic Food
held amulet,Extra/Power/Amulet Of Protection
herald selected,Townsfolk/Power/Herald Background Left
lycan,Werewolf/Miscellaneous/Wolf
powdered,Solo/Pyro/Pyro Card
raven,Extras/Raven
